country,indicator,year,value,source_id,retrieved,via
DE,SP.POP.TOTL,2015,81686611,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,SP.POP.TOTL,2016,82348669,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,SP.POP.TOTL,2017,82657002,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,SP.POP.TOTL,2018,82905782,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,SP.POP.TOTL,2019,83092962,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,SP.POP.TOTL,2020,83160871,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,SP.POP.TOTL,2021,83196078,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,SP.POP.TOTL,2022,83177813,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,SP.POP.TOTL,2023,83287273,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,SP.POP.TOTL,2024,83516593,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,SP.POP.TOTL,2015,46422303,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,SP.POP.TOTL,2016,46458139,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,SP.POP.TOTL,2017,46571232,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,SP.POP.TOTL,2018,46782011,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,SP.POP.TOTL,2019,47118501,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,SP.POP.TOTL,2020,47359424,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,SP.POP.TOTL,2021,47443821,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,SP.POP.TOTL,2022,47786102,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,SP.POP.TOTL,2023,48352528,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
ES,SP.POP.TOTL,2024,48848840,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,SP.POP.TOTL,2015,66548272,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,SP.POP.TOTL,2016,66724104,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,SP.POP.TOTL,2017,66918020,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,SP.POP.TOTL,2018,67158348,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,SP.POP.TOTL,2019,67382061,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,SP.POP.TOTL,2020,67601110,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,SP.POP.TOTL,2021,67842811,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,SP.POP.TOTL,2022,68184457,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,SP.POP.TOTL,2023,68372286,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,SP.POP.TOTL,2024,68551653,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,SP.POP.TOTL,2015,65088000,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,SP.POP.TOTL,2016,65607000,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,SP.POP.TOTL,2017,65966000,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,SP.POP.TOTL,2018,66289000,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,SP.POP.TOTL,2019,66631000,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,SP.POP.TOTL,2020,66744000,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,SP.POP.TOTL,2021,66984000,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,SP.POP.TOTL,2022,67604000,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,SP.POP.TOTL,2023,68492000,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
GB,SP.POP.TOTL,2024,69226000,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,SP.POP.TOTL,2015,60229605,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,SP.POP.TOTL,2016,60115223,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,SP.POP.TOTL,2017,60002252,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,SP.POP.TOTL,2018,60148658,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,SP.POP.TOTL,2019,59729081,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
